x,y,stratum,year,stand.snow,N
67,78,1,12,0.558766974,8
68,314,2,12,1.885743793,78
69,30,3,12,-2.322892746,9
70,30,4,12,-0.155759006,19
71,87,5,12,-0.336353484,26
72,91,6,12,-0.155759006,4
73,109,1,13,1.817931637,8
74,747,2,13,1.954983573,79
75,49,3,13,0.370320562,9
76,41,4,13,1.620919479,19
77,61,5,13,1.432473067,26
78,89,6,13,1.620919479,4
79,106,1,14,3.304700409,6
80,384,2,14,3.627751401,42
81,108,3,14,0.841436592,21
82,103,4,14,1.756747737,21
83,116,5,14,2.066338272,32
84,128,6,14,1.447157203,6
85,82,1,15,0.401728297,8
86,573,2,15,0.951363666,79
87,106,3,15,-1.019471728,21
88,76,4,15,-0.132203204,21
89,251,5,15,0.221133819,61
90,191,6,15,-0.132203204,6
91,123,1,16,3.039978068,6
92,292,2,16,3.280770706,40
93,162,3,16,-0.456749803,21
94,171,4,16,1.710383937,21
95,412,5,16,2.673554489,53
96,266,6,16,1.480060545,6
97,80,1,17,0.401728297,8
98,444,2,17,1.312552623,57
99,108,3,17,-1.569107097,21
100,120,4,17,-0.12435127,21
101,229,5,17,-0.312797683,55
102,178,6,17,-0.12435127,6
103,57,1,18,1.131958144,8
104,416,2,18,1.493147101,71
105,102,3,18,-1.388512619,21
106,61,4,18,-0.658282772,21
107,153,5,18,-0.312797683,52
108,150,6,18,-0.485540227,6
109,60,1,19,0.582322775,8
110,189,2,19,0.943511732,42
111,99,3,19,-1.380660685,20
112,84,4,19,-0.666134706,21
113,116,5,19,-0.666134706,30
114,118,6,19,-0.846729184,6
115,55,1,20,0.739361452,8
116,497,2,20,1.516702903,81
117,58,3,20,-2.1265944,24
118,79,4,20,0.016983539,21
119,157,5,20,0.386024429,66
120,173,6,20,0.024835473,6
121,43,1,21,0.762917254,8
122,577,2,21,1.438183564,81
123,119,3,21,-1.364956818,24
124,95,4,21,0.228985752,21
125,205,5,21,0.409580231,66
126,103,6,21,0.048391274,6
127,44,1,22,1.131958144,8
128,385,2,22,1.312552623,81
129,88,3,22,-1.200066207,23
130,67,4,22,-0.493392161,21
131,149,5,22,0.951363666,66
132,122,6,22,-0.132203204,6
133,67,1,23,0.409580231,8
134,570,2,23,1.626629976,81
135,85,3,23,-0.666134706,24
136,64,4,23,-0.846729184,21
137,215,5,23,-0.132203204,66
138,111,6,23,-0.666134706,6
139,83,1,24,0.205429951,8
140,532,2,24,1.147662012,81
141,104,3,24,-1.24717781,24
142,54,4,24,-0.32850155,21
143,198,5,24,0.558766974,66
144,118,6,24,-1.050879464,6
145,75,1,25,0.770769188,8
146,532,2,25,1.16336588,70
147,100,3,25,-1.55340323,24
148,91,4,25,0.048391274,21
149,141,5,25,-0.304945749,66
150,99,6,25,-0.320649617,6
151,56,1,26,0.048391274,8
152,172,2,26,1.281144887,42
153,30,3,26,-1.027323662,24
154,27,4,26,-1.019471728,21
155,114,5,26,-0.485540227,66
156,94,6,26,-1.019471728,6
157,94,1,27,-0.312797683,8
158,651,2,27,0.951363666,81
159,122,3,27,-1.019471728,24
160,74,4,27,-1.035175596,21
161,246,5,27,0.228985752,66
162,144,6,27,-0.485540227,6
163,90,1,28,0.024835473,8
164,823,2,28,1.100550409,81
165,98,3,28,-0.862433052,24
166,76,4,28,-1.04302753,21
167,307,5,28,0.024835473,66
168,114,6,28,-1.04302753,6
169,59,1,29,0.951363666,8
170,561,2,29,1.312552623,81
171,109,3,29,-1.388512619,24
172,70,4,29,-0.485540227,21
173,157,5,29,0.770769188,66
174,100,6,29,-0.312797683,6
175,69,1,30,0.221133819,8
176,553,2,30,0.762917254,81
177,113,3,30,-1.019471728,24
178,87,4,30,-0.304945749,21
179,186,5,30,-0.304945749,66
180,86,6,30,-0.304945749,6
181,74,1,31,0.762917254,8
182,450,2,31,1.312552623,81
183,171,3,31,-1.733997708,24
184,46,4,31,-0.485540227,21
185,175,5,31,-0.666134706,66
186,83,6,31,-0.666134706,6
187,71,1,32,0.024835473,8
188,593,2,32,1.100550409,81
189,70,3,32,-1.050879464,24
190,53,4,32,-0.870284985,21
191,214,5,32,0.386024429,66
192,86,6,32,-1.050879464,6
193,45,1,33,0.048391274,8
194,650,2,33,0.582322775,81
195,68,3,33,-1.741849642,24
196,81,4,33,-0.83887725,21
197,228,5,33,-0.312797683,66
198,70,6,33,-1.019471728,6
199,38,1,34,0.409580231,8
200,444,2,34,0.409580231,81
201,56,3,34,-1.569107097,24
202,48,4,34,-0.485540227,21
203,183,5,34,-1.396364553,60
204,46,6,34,-0.666134706,6
205,73,1,35,0.770769188,8
206,506,2,35,1.131958144,81
207,62,3,35,-2.283633077,24
208,66,4,35,-0.83887725,21
209,154,5,35,-0.304945749,66
210,57,6,35,-1.019471728,6
211,48,1,36,-0.336353484,8
212,423,2,36,1.100550409,81
213,47,3,36,-1.404216487,23
214,27,4,36,-0.689690507,21
